nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT02906670,Sym013 (Pan-HER) in Patients With Advanced Epithelial Malignancies,TERMINATED,2016-11-01,Business reasons,PHASE1|PHASE2,32,Symphogen A/S,INDUSTRY,Oncology,Sym013,2026-09-07,False,False
NCT06074705,A Study of DS-1471a In Subjects With Advanced Solid Tumors,TERMINATED,2023-08-04,The study was terminated by the sponsor due to a business decision.,PHASE1,17,"Daiichi Sankyo Co., Ltd.",INDUSTRY,Advanced Solid Tumor,DS-1471a,2026-09-07,False,False
NCT02904772,Alipogene Tiparvovec for the Treatment of LPLD Patients,WITHDRAWN,2016-10,"uniQure, has decided not to renew the Marketing Authorization of Glybera in the EU. This decision is not related to any safety, efficacy or quality issue",PHASE2,0,UniQure Biopharma B.V.,INDUSTRY,LPL Deficiency,alipogene tiparvovec|Prednisolone|Cyclosporins|Mycophenolate mofetil,2026-09-07,False,False
NCT02426021,Phase 1 Single Subcutaneous Dose Study of MLN1202,WITHDRAWN,2015-04,Business decision; No Safety or Efficacy Concerns,PHASE1,0,Takeda,INDUSTRY,Healthy Japanese and Caucasian Male Adults,MLN1202|MLN1202 Placebo,2026-09-07,False,False
NCT03291249,"Assessment of the Safety of Foralumab, an Oral Anti-CD3 Antibody, in Patients With NASH and T2DM",WITHDRAWN,2017-12-01,Due to MOH request.,PHASE2,0,Tiziana Life Sciences LTD,INDUSTRY,NASH - Nonalcoholic Steatohepatitis|NAFLD|T2DM (Type 2 Diabetes Mellitus),Foralumab|placebo|Omeprazole 20mg,2026-09-07,False,False
NCT05447663,A Study of Siremadlin Alone and in Combination With Donor Lymphocyte Infusion in Acute Myeloid Leukemia Post-allogeneic Stem Cell Transplant,TERMINATED,2023-02-23,Study has been stopped following the strategic decision from the Sponsor. Not based on any safety findings or safety concerns with siremadlin.,PHASE1|PHASE2,8,Novartis Pharmaceuticals,INDUSTRY,Acute Myeloid Leukemia|Allogeneic Stem Cell Transplantation,Siremadlin,2026-09-07,False,False
NCT05165771,"Study to Evaluate Safety, Tolerability, and Efficacy of GS-5718 in Participants With Active Rheumatoid Arthritis Who Have an Inadequate Response to Disease-modifying Antirheumatic Drug(s) (bDMARDs) Treatment",WITHDRAWN,2022-07,Sponsor decision to withdraw study.,PHASE2,0,Gilead Sciences,INDUSTRY,Rheumatoid Arthritis,GS-5718|GS-5718|Placebo to match GS-5718|Tofacitinib 5 mg|Placebo to match Tofacitinib,2026-09-07,False,False
NCT02405793,Meloxicam SoluMatrix® Capsules vs Meloxicam Tablets to Treat Osteoarthritis Pain,WITHDRAWN,2015-05,Internal business decision not to move forward with study,PHASE2,0,"Iroko Pharmaceuticals, LLC",INDUSTRY,Osteoarthritis,Meloxicam Test Capsules|Meloxicam Test Capsules|Meloxicam Tablets,2026-09-07,False,False
NCT05737706,Study of MRTX1133 in Patients With Advanced Solid Tumors Harboring a KRAS G12D Mutation,TERMINATED,2023-03-06,Formulation challenges,PHASE1,63,Mirati Therapeutics Inc.,INDUSTRY,Solid Tumor|Advanced Solid Tumor|Non-small Cell Lung Cancer|Colo-rectal Cancer|Pancreatic Adenocarcinoma,MRTX1133,2026-09-07,False,False
NCT05949632,A Study of INCB099280 in Combination With Axitinib in Adults With Advanced Solid Tumors,TERMINATED,2024-04-16,This was a strategic business decision. There were no safety concerns contributing to this decision.,PHASE1|PHASE2,5,Incyte Corporation,INDUSTRY,Advanced Solid Tumors,INCB099280|axitinib,2026-09-07,False,False
NCT02968121,Safety and Tolerability Study of Single-dose Administration of Brexpiprazole in Adult Subjects With Schizophrenia,TERMINATED,2017-01,Part A of study was completed per protocol. Conduct of Part B of the study (confirmatory phase) was not necessary.,PHASE1,22,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,Schizophrenia,"Brexpiprazole, OPDC-34712",2026-09-07,False,False
NCT03393806,Repeat Dose Study of GSK3772847 in Participants With Moderate to Severe Asthma With Allergic Fungal Airway Disease (AFAD),TERMINATED,2018-04-18,Recruitment was terminated early before meeting target enrolment due to a high screen failure rate and the feasibility of completing the study in a timely way,PHASE2,17,GlaxoSmithKline,INDUSTRY,Asthma,GSK3772847|Placebo,2026-09-07,False,False
NCT03360006,A Study Evaluating the Safety and Pharmacokinetics of ABBV-744 in Participants With Relapsed/Refractory Acute Myeloid Leukemia (AML) Cancer,TERMINATED,2018-03-16,Strategic Reasons,PHASE1,30,AbbVie,INDUSTRY,Acute Myeloid Leukemia (AML),ABBV-744,2026-09-07,False,False
NCT02551055,"MLN1117 in Combination With Docetaxel, Paclitaxel, and Other Investigational Anticancer Agents to Treat Participants With Gastric and Gastroesophageal Adenocarcinoma",TERMINATED,2015-10-15,Business Decision; No Safety Or Efficacy Concerns.,PHASE1,32,"Millennium Pharmaceuticals, Inc.",INDUSTRY,Advanced and Metastatic Gastric or Gastroesophageal Adenocarcinoma,MLN1117|TAK-659|Alisertib|Paclitaxel|Docetaxel,2026-09-07,False,False
NCT02317549,Treatment of Septic Shock by Inhibiting Autodigestion and Preserving Gut Integrity With Enteric LB1148,TERMINATED,2015-04,Inability to enroll,PHASE2,8,"Leading BioSciences, Inc",INDUSTRY,Septic Shock,LB1148|Placebo,2026-09-07,False,False
NCT04927884,A Study of Sacituzumab With Chemoimmunotherapy to Treat Advanced Triple-Negative Breast Cancer After Prior Therapies,TERMINATED,2021-09-08,low enrollment,PHASE1|PHASE2,3,"ImmunityBio, Inc.",INDUSTRY,Advanced Triple Negative Breast Cancer,N-803|PD-L1 t-haNK|Sacituzumab Govitecan-Hziy|Cyclophosphamide,2026-09-07,False,False
NCT02990858,An Extension Protocol for Subjects Who Successfully Completed PRO140_CD02 or PRO140_CD02_Open Label Study,TERMINATED,2016-11-03,FDA required the sponsor to halt enrollment in the trial and transition participants to available therapies for the treatment of their disease. The trial was subsequently terminated once participants were transitioned.,PHASE2|PHASE3,43,"CytoDyn, Inc.",INDUSTRY,Human Immunodeficiency Virus (HIV),PRO 140,2026-09-07,False,False
NCT04139317,Safety and Efficacy of Capmatinib (INC280) Plus Pembrolizumab vs Pembrolizumab Alone in NSCLC With PD-L1≥ 50%,TERMINATED,2020-01-22,Sponsor decision to terminate due to the lack of tolerability observed in patients treated with capmatinib and pembrolizumab in the combination arm as compared to patients treated with pembrolizumab alone in the pembrolizumab single agent arm,PHASE2,76,Novartis Pharmaceuticals,INDUSTRY,Non-small Cell Lung Cancer (NSCLC),Capmatinib|Pembrolizumab,2026-09-07,False,False
NCT05111249,A Dose Range Finding Study With Open-Label Extension to Evaluate the Safety of Oral LMI070/Branaplam in Early Manifest Huntington's Disease,TERMINATED,2021-12-08,The trial was halted prematurely due to signs and symptoms that suggested the possibility of peripheral neuropathy. All participants who received branaplam continued to undergo routine (safety) evaluations for up to a year following their final dose,PHASE2,26,Novartis Pharmaceuticals,INDUSTRY,Early Manifest Huntington Disease,Branaplam|Placebo,2026-09-07,False,False
NCT05323110,Study of Intravenously Administered Anti-LIGHT Monoclonal Antibody CBS001 in Healthy Volunteers,TERMINATED,2022-04-14,Portfolio reprioritization,PHASE1,56,Capella Bioscience Ltd,INDUSTRY,Chronic Inflammatory Disease,CBS001|Placebo,2026-09-07,False,False
NCT05683860,Open-label Extension (OLE) Study of WVE-004 in Patients With C9orf72-associated Amyotrophic Lateral Sclerosis (ALS) and/or Frontotemporal Dementia (FTD),TERMINATED,2022-12-14,"Despite robust, sustained reductions in poly(GP), no clinical benefit was seen at 24 weeks, and reductions in poly(GP) were not associated with stabilization in functional outcomes. Based on these data, Wave decided to stop development of WVE-004.",PHASE1|PHASE2,8,"Wave Life Sciences USA, Inc.",INDUSTRY,ALS|FTD,WVE-004,2026-09-07,False,False
NCT06739980,The ENABLE Study: Safety and Efficacy Study of INZ-701 in Patients With ENPP1 Deficiency,WITHDRAWN,2025-01-31,Study was not initiated as it is no longer consistent with the Sponsor's development plans.,PHASE2,0,Inozyme Pharma,INDUSTRY,Ectonucleotide Pyrophosphatase/phosphodiesterase1 Deficiency|Autosomal Recessive Hypophosphatemic Rickets|Generalized Arterial Calcification of Infancy 1,INZ-701,2026-09-07,False,False
NCT04912115,"Randomized, Double-Blind, Active Placebo-Controlled Study of Ketamine to Treat Levodopa-Induced Dyskinesia",SUSPENDED,2021-10-05,Seeking Pivotal study initiation,PHASE2,30,PharmaTher Inc.,INDUSTRY,Dyskinesias|Movement Disorders|Central Nervous System Diseases|Nervous System Diseases|Neurologic Manifestations,Ketamine|Midazolam,2026-09-07,False,False
NCT04155190,"A Study of Patidegib Topical Gel, 2%, for the Reduction of Disease Burden of Persistently Developing Basal Cell Carcinomas in Patients With Non-Gorlin High Frequency BCC",TERMINATED,2019-12-20,Terminated early due to low blinded event rate,PHASE2,50,"Sol-Gel Technologies, Ltd.",INDUSTRY,Recurrent Basal Cell Carcinoma,"Patidegib Topical Gel, 2%|Patidegib Topical Gel, Vehicle",2026-09-07,False,False
NCT04437368,EXPLORE: A Phase II Study to Evaluate the Safety and Efficacy of Two Doses of GT005,TERMINATED,2019-04-26,Terminated for interim analysis demonstrating futility (trial highly unlikely to meet efficacy outcome). The trial is not ending early because of medical problems or concerns.,PHASE2,98,Gyroscope Therapeutics Limited,INDUSTRY,Dry Age-related Macular Degeneration,GT005,2026-09-07,False,False
NCT06585150,Study of Obeldesivir to Treat Nonhospitalized Adults With Acute Respiratory Syncytial Virus (RSV) Infection,TERMINATED,2024-10-14,Study was terminated by Sponsor; the decision was not due to any safety findings.,PHASE2,150,Gilead Sciences,INDUSTRY,RSV Infection,Obeldesivir|Obeldesivir Placebo,2026-09-07,False,False
NCT04909879,Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells for Non-COVID-19 Acute Respiratory Distress Syndrome,WITHDRAWN,2021-09,Replaced by a different protocol.,PHASE2,0,"Sorrento Therapeutics, Inc.",INDUSTRY,Acute Respiratory Distress Syndrome|Ards,COVI-MSC|Placebo,2026-09-07,False,False
NCT02669849,Study to Assess the Efficacy and Safety of VX-210 in Subjects With Acute Traumatic Cervical Spinal Cord Injury,TERMINATED,2016-07,,PHASE2|PHASE3,70,Vertex Pharmaceuticals Incorporated,INDUSTRY,Cervical Spinal Cord Injury,VX-210|Placebo,2026-09-07,False,False
NCT03118349,Study of 177Lu Human Monoclonal Antibody 5B1 (MVT-1075) in Combination With a Blocking Dose of MVT-5873 as Radioimmunotherapy,TERMINATED,2017-06-01,Sponsor Decision,PHASE1,4,"BioNTech Research & Development, Inc.",INDUSTRY,Pancreatic Carcinoma|Tumors That Express CA 19-9,MVT-1075|MVT-5873,2026-09-07,False,False
NCT05315713,"An Open-Label, Multicenter Study Evaluating the Safety, Efficacy, and Pharmacokinetics of Mosunetuzumab in Combination With Tiragolumab With or Without Atezolizumab in Participants With B-Cell Non-Hodgkin Lymphoma",TERMINATED,2022-05-10,Study was terminated due to Sponsor decision.,PHASE1|PHASE2,8,Hoffmann-La Roche,INDUSTRY,"Non-Hodgkin Lymphoma, Follicular Lymphoma",Mosunetuzumab SC|Tiragolumab|Atezolizumab|Tocilizumab,2026-09-07,False,False
NCT02161679,Phase II Study of IMMU-132 Alone or in Combination With Carboplatin in Patients With Triple-Negative Breast Cancer,WITHDRAWN,2016-08,FDA asked to administratively split from IND115621- to open a new IND you need to file a protocol we only drafted it to get the IND open - never initiated,PHASE2,0,Gilead Sciences,INDUSTRY,Triple-negative Breast Cancer,IMMU-132 infusion is administered to participants in one arm for the study|IMMU-132 plus Carboplatin infusion,2026-09-07,False,False
NCT05081180,Study of Avelumab in Combination With Lenvatinib for Children With Primary CNS Tumors,TERMINATED,2021-12-03,The study was stopped due to a lack of clear evidence of anti-tumor activity with the combination treatment in the participants treated.,PHASE1,17,"EMD Serono Research & Development Institute, Inc.",INDUSTRY,Central Nervous System Tumors,Avelumab|Lenvatinib,2026-09-07,False,False
NCT02475746,"An Open-label, Two-period, Fixed-sequence Study to Evaluate Multiple-dose Itraconazole Effect on The Single-dose PK of PF-06372865 in Healthy Subjects",WITHDRAWN,2015-07,,PHASE1,0,Pfizer,INDUSTRY,Healthy,PF-06372865|itraconazole,2026-09-07,False,False
NCT02871427,Open-label Study of Nelotanserin in Lewy Body Dementia With Visual Hallucinations or REM Sleep Behavior Disorder,TERMINATED,2016-10-20,Changes to the overall development program for the study medication,PHASE2,80,Axovant Sciences Ltd.,INDUSTRY,Lewy Body Dementia|Dementia With Lewy Bodies|Parkinson's Disease Dementia|Visual Hallucinations|REM Sleep Behavior Disorder,Nelotanserin,2026-09-07,False,False
NCT05317013,CBD in Postmenopausal Women With Osteopenia,TERMINATED,2022-05-01,Low enrollment,PHASE1,2,Canopy Growth Corporation,INDUSTRY,Osteopenia,CBD|Placebo,2026-09-07,False,False
NCT04109482,Trial to Evaluate the Safety and Efficacy of MB-102 in Patients With BPDCN.,TERMINATED,2020-02-17,Business reasons.,PHASE1|PHASE2,3,Mustang Bio,INDUSTRY,Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN),MB-102|Fludarabine|Cyclophosphamide,2026-09-07,False,True
NCT03338881,"A Study to Assess Mass Balance, Pharmacokinetics (PK), and Metabolism of Orally Administered [14 C]-TAK-659 in Participants With Advanced Solid Tumor and/or Lymphoma Malignancies",WITHDRAWN,2018-05-10,Business decision: no safety or efficacy concerns,PHASE1,0,"Calithera Biosciences, Inc",INDUSTRY,Advanced Solid Neoplasms|Lymphoma Neoplasms,[14C]-TAK-659|TAK-659,2026-09-07,False,False
NCT04283136,A Study to Test the Blood Concentration of 4 Padsevonil Product Variants and the Effect of Food on Padsevonil,WITHDRAWN,2020-02-24,"Based on available data, UCB has decided to stop development of padsevonil as adjunctive treatment of focal-onset seizures",PHASE1,0,UCB Biopharma SRL,INDUSTRY,Healthy Participants|Epilepsy,Padsevonil type 1 Tablet 200 mg|Padsevonil type 2 Tablet|Padsevonil type 3 Tablet|Padsevonil type 4 Tablet|Padsevonil type 5 Tablet,2026-09-07,False,False
NCT05438758,Repeated Intranasal Esketamine Plus Almond Therapy in Participants With Treatment Resistant Depressive Disorder - 3 Month Extension Study,WITHDRAWN,2023-01-15,Withdrawn by Sponsor,PHASE2,0,Zylorion Health,INDUSTRY,Treatment Resistant Major Depressive Disorder,Almond Therapy|Intranasal ketamine (Esketamine)|Treatment as Usual,2026-09-07,False,False
NCT05785715,Study to Evaluate the Clinical Activity and Safety of Oral NX-13 in Moderate to Severe Ulcerative Colitis,TERMINATED,2023-04-24,Sponsor Decision\_Not Safety Related,PHASE2,81,AbbVie,INDUSTRY,Ulcerative Colitis,NX-13 250mg|NX-13 750mg|NX-13 Placebo,2026-09-07,False,False
NCT04167618,177Lu-DTPA-Omburtamab Radioimmunotherapy for Recurrent or Refractory Medulloblastoma,TERMINATED,2021-09-30,Business priorities,PHASE1|PHASE2,2,Y-mAbs Therapeutics,INDUSTRY,"Medulloblastoma, Childhood",177Lu-DTPA-omburtamab,2026-09-07,False,False
NCT05984784,"A Study to Evaluate the Safety, Pharmacokinetics, and Efficacy of IMG-007 in Adults With Atopic Dermatitis (AD)",TERMINATED,2023-08-09,Cohort 1 was completed. Cohort 2 was cancelled because data from Cohort 1 provided sufficient information for further development decision. No safety concerns were noted.,PHASE1|PHASE2,13,Inmagene LLC,INDUSTRY,Atopic Dermatitis|Moderate-to-severe Atopic Dermatitis|AD,Placebo|IMG-007,2026-09-07,False,False
NCT02323906,Safety and Efficacy Study of CC-122 Combined With Sorafenib for Primary Liver Cancer,TERMINATED,2015-01-16,Slow enrollment and business decision. No safety concerns were identified for the study drugs.,PHASE1,12,Celgene,INDUSTRY,"Carcinoma, Hepatocellular",CC-122|Sorafenib,2026-09-07,False,False
NCT04941404,A Study of TQ05105 Tablets in Subjects With Glucocorticoid-Refractory Acute Graft-Versus-Host Disease (aGVHD),TERMINATED,2022-06-10,This study was closed due to business reasons. Closure was not prompted by any safety or efficacy concerns.,PHASE1|PHASE2,13,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY,Glucocorticoid-Refractory aGVHD,TQ05105 tablets,2026-09-07,False,False
NCT04393038,ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19,TERMINATED,2020-07-01,Interim analysis concludes that the study is futile,PHASE2|PHASE3,509,Abivax S.A.,INDUSTRY,COVID-19,ABX464|Placebo,2026-09-07,False,False
NCT03693391,A Study to Investigate Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid (AMPA Gamma 8) Receptor Occupancy of JNJ-64140284 With Newly Developed Transmembrane AMPA Receptor Regulatory Protein (TARP)-Gamma 8 Positron Emission Tomography (PET) [18F]JNJ-64511070 in Healthy Men,TERMINATED,2018-10-17,stopped because of a business decision,PHASE1,22,"Janssen Research & Development, LLC",INDUSTRY,Healthy,JNJ-64140284|Fluorine-18 Labeled [18F]-JNJ-64511070,2026-09-07,False,False
NCT04078191,Comparison of Tc 99m Tilmanocept Imaging With IHC Analysis of CD206 Expression in Synovial Tissue of Subjects With RA,TERMINATED,2021-09-14,Sponsor decision.,PHASE2,20,Navidea Biopharmaceuticals,INDUSTRY,Rheumatoid Arthritis,Tc 99m tilmanocept,2026-09-07,False,False
NCT05212818,Evaluate the Efficacy and Safety of TF0023 in Treatments for COVID-19 in Hospitalized Adults,TERMINATED,2022-05-10,Low patient accrual.,PHASE2,19,Techfields Inc,INDUSTRY,COVID-19 Pneumonia,TF0023,2026-09-07,False,False
NCT03697824,"Clinical Trial of Safety, Tolerability and Antitumor Activity of Genetically Engineered T Cells in Combination With Anti-Cancer Agents in Relapsed and Refractory Synovial Sarcoma Expressing New York Esophageal Antigen-1 (NY-ESO-1) and/or LAGE-1a",WITHDRAWN,2019-02-25,"Internal decision, study will be replaced with a larger monotherapy trial",PHASE2,0,GlaxoSmithKline,INDUSTRY,Neoplasms,GSK3377794|Pembrolizumab|Fludarabine|Cyclophosphamide,2026-09-07,False,False
NCT03850535,A Study Evaluating the Safety and Efficacy of Idasanutlin in Combination With Cytarabine and Daunorubicin in Patients Newly Diagnosed With Acute Myeloid Leukemia (AML) and the Safety and Efficacy of Idasanutlin in the Maintenance of First AML Complete Remission,TERMINATED,2019-03-25,Sponsor's decision to terminate the study after Phase 1; will not proceed with Phase 2.,PHASE1|PHASE2,24,Hoffmann-La Roche,INDUSTRY,Acute Myeloid Leukemia,Idasanutlin|Cytarabine|Daunorubicin|Allogeneic Hematopoietic Stem Cell Transplant (Allo-HSCT),2026-09-07,False,False
NCT03884517,Clinical Trial of BAT8003 (for Injection) for Patients With Advanced Epithelial Cancer,TERMINATED,2019-03-15,"Considering that the safety risk will affect the subsequent development, it is decided to terminate the test voluntarily",PHASE1,5,Bio-Thera Solutions,INDUSTRY,Advanced Solid Cancer,BAT8003,2026-09-07,False,False
NCT02467413,BAC in Patient With Alzheimer's Disease or Vascular Dementia,WITHDRAWN,2017-01-30,The study was withdrawn before participants were enrolled.,PHASE2,0,"Botanicure Co., Ltd.",INDUSTRY,Alzheimer's Disease|Vascular Dementia,BAC|BAC Matched Vehicle,2026-09-07,False,False
NCT03932513,Evaluating the Effects of Inarigivir on Immune Response and Viral Markers in Chronic Hepatitis B Patients,TERMINATED,2019-04-11,Study was halted due to suspected liver injury in another study with Inarigavir,PHASE2,8,"F-star Therapeutics, Inc.",INDUSTRY,"HBV|Hepatitis B|Hepatitis B, Chronic",inarigivir soproxil,2026-09-07,False,False
NCT05254613,A Study of Single and Multiple SC Doses of ALXN1830 in Healthy Adult Participants,TERMINATED,2019-11-12,The justification of the early termination of the trial: the study is early terminated due to the Coronavirus 2019 epidemic.,PHASE1,12,"Alexion Pharmaceuticals, Inc.",INDUSTRY,Healthy,ALXN1830|Placebo,2026-09-07,False,False
NCT04260360,Trial of NanoDoce Intratumoral Injection in Renal Cell Carcinoma,WITHDRAWN,2020-04,Not initiated,PHASE1,0,"NanOlogy, LLC",INDUSTRY,"Renal Cell Carcinoma|Kidney Cancer|Adenocarcinoma of Kidney|Adenocarcinoma, Renal|Renal Cell Cancer",NanoDoce (sterile nanoparticulate docetaxel) Powder for Suspension,2026-09-07,False,False
NCT04878315,Bioequivalence Study Between Capoten Versus Captopril Reference Product in Healthy Adult Participants Under Fasting Conditions,WITHDRAWN,2022-02-13,Internal sponsor decision to terminate project prematurely based on a waiver granted by Egypt EDA (Egyptian drug authority). No subjects were enrolled.,PHASE1,0,GlaxoSmithKline,INDUSTRY,Healthy Volunteers,Capoten|Captopril,2026-09-07,False,False
NCT04920578,A Study of JNJ-69095897 in Healthy Participants,TERMINATED,2021-06-16,business decision to end clinical development of JNJ-69095897,PHASE1,48,"Janssen Research & Development, LLC",INDUSTRY,Healthy,JNJ-69095897|Placebo,2026-09-07,False,False
NCT02635243,"A Study to Evaluate Safety, Pharmacokinetics, and Pharmacodynamics of a Single Dose of SAR438544 in Comparison to Glucagon in Type 1 Diabetes Mellitus Patients Under Induced Hypoglycemia",WITHDRAWN,2016-04,,PHASE1,0,Sanofi,INDUSTRY,Type 1 Diabetes Mellitus,SAR438544|r-glucagon|insulin,2026-09-07,False,False
NCT02696291,Safety and Pharmacokinetics of UV-4B Solution Administered Orally as Multiple Ascending Doses to Healthy Subjects,TERMINATED,2016-05-27,Product development halted for business reasons.,PHASE1,7,Emergent BioSolutions,INDUSTRY,Viral Infection,UV-4B 30 mg oral solution|UV-4B 75 mg oral solution|UV-4B 150 mg oral solution|UV-4B X mg (dose to be determined) oral solution|UV-4B Y mg (dose to be determined) oral solution|Placebo,2026-09-07,False,False
NCT02918266,TAK-071 Scopolamine-Induced Cognitive Impairment Study,TERMINATED,2016-11-21,Terminated prematurely due to indication change.,PHASE1,18,Takeda,INDUSTRY,Healthy Volunteers,Scopolamine|TAK-071|Donepezil|Scopolamine Placebo|TAK-071 Placebo|Donepezil Placebo,2026-09-07,False,False
NCT05156645,A Study to Evaluate Efficacy and Safety of the Combination of SCTA01 & SCTA01C in Outpatients With COVID-19,WITHDRAWN,2022-01-15,The study was withdraw due to the fast spread of Omicron variant worldwide,PHASE1|PHASE2,0,Sinocelltech Ltd.,INDUSTRY,COVID-19,SCTA01 and SCTA01C|Placebo,2026-09-07,False,False
NCT05893537,Study to Evaluate the Efficacy and Safety of Oral CT1812 in Participants With Geographic Atrophy (GA) Secondary to Dry Age-Related Macular Degeneration (AMD).,TERMINATED,2023-06-16,The trial was closed as part of a strategic business decision.,PHASE2,100,Cognition Therapeutics,INDUSTRY,Age-Related Macular Degeneration,Active Comparator CT1812|Placebo Comparator,2026-09-07,False,False
NCT03241446,Pharmacokinetics and Dosimetry of Tc 99m Tilmanocept Following a Single Intravenous Dose Administration in Male and Female Subjects Diagnosed With Rheumatoid Arthritis (RA),WITHDRAWN,2017-09,This study was combined with another trial that was on-going.,PHASE1,0,Navidea Biopharmaceuticals,INDUSTRY,"Arthritis, Rheumatoid",Tilmanocept,2026-09-07,False,False
NCT03751969,A Study Evaluating the Mass Balance of Micro-dose[14C]HSK3486 Emulsion Injection in Healthy Adults,WITHDRAWN,2020-03-30,study canceled,PHASE1,0,"Sichuan Haisco Pharmaceutical Group Co., Ltd",INDUSTRY,Anesthesia|Sedation,HSK3486,2026-09-07,False,False
NCT06245941,A Clinical Trial of TQ05105 Tablets Combined With TQB3909 Tablets in the Treatment of Myelofibrosis (MF),TERMINATED,2024-05-13,Per sponsor request. Premature closure was not prompted by any safety or efficacy concerns.,PHASE1|PHASE2,21,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY,Myelofibrosis,TQ05105 tablets|TQB3909 tablets,2026-09-07,False,False
NCT04991194,Effect of Age-gender on the Pharmacokinetic and Pharmacodynamic Profiles of BIA 5 1058,TERMINATED,2015-10-12,Sponsor decision,PHASE1,61,Bial - Portela C S.A.,INDUSTRY,Pulmonary Arterial Hypertension,BIA 5-1058,2026-09-07,False,False
NCT05605522,A Study of [225Ac]-FPI-2059 in Adult Participants With Solid Tumours,TERMINATED,2023-02-07,Sponsor reprioritization of active trials.,PHASE1,19,3B Pharmaceuticals GmbH,INDUSTRY,Pancreatic Ductal Adenocarcinoma (PDAC)|Squamous Cell Carcinoma of Head and Neck|Colorectal Cancer|Gastric Cancer|Ewing Sarcoma|NTSR1 Expressing Solid Tumours|Neuroendocrine Differentiated (NED) Prostate Cancer,[225]-FPI-2059|[111In]-FPI-2058,2026-09-07,False,False
NCT04928430,Efficacy and Safety of XAV-19 for the Treatment of Moderate-to-severe COVID-19,TERMINATED,2021-04-28,Lack of recruitment,PHASE2|PHASE3,290,Xenothera SAS,INDUSTRY,COVID-19,XAV-19|Placebo,2026-09-07,False,False
NCT03119077,"Single Ascending Dose, First-in-Human Study on Safety, Tolerability and Pharmacokinetics of BAY1161116",TERMINATED,2017-04-27,Study early terminated due to lower drug exposure,PHASE1,32,Bayer,INDUSTRY,Polycystic Ovary Syndrome,BAY1161116|Placebo|Itraconazole,2026-09-07,False,False
NCT04778059,Safety and Efficacy of USB002 for Respiratory Distress Due to COVID-19,TERMINATED,2021-07-27,Unable to enroll in timely manner due to nature of COVID,PHASE2,21,"US Biotest, Inc.",INDUSTRY,"2019 Novel Coronavirus Infection|COVID-19 Virus Infection|SARS Coronavirus 2 Infection|SARS-CoV-2 Infection|Respiratory Distress Syndrome, Adult|Adult Respiratory Distress Syndrome",USB002|Placebo,2026-09-07,False,False
NCT03200080,"A Study to Determine the Abuse Potential of Tozadenant Relative to D-Amphetamine and Placebo When Administered Orally in Healthy, Non-Dependent, Recreational Polydrug Users",TERMINATED,2017-09-18,New Safety Information,PHASE1,26,Biotie Therapies Inc.,INDUSTRY,Abuse Potential,Tozadenant|Placebo oral tablet|d-amphetamine|Placebo oral capsule,2026-09-07,False,False
NCT02913105,"Safety, Tolerability, Pharmacokinetics and Efficacy of LMB763 in Patients With NASH",TERMINATED,2016-10-24,,PHASE2,122,Novartis Pharmaceuticals,INDUSTRY,Non-alcoholic Steatohepatitis NASH,LMB763|Placebo,2026-09-07,False,False
NCT06137729,A Study to Learn How the Study Medicine PF-07899895 Are Tolerated and Act in the Body of Healthy Adults,TERMINATED,2023-11-17,Study was terminated early . This decision was not due to any safety concerns associated with PF-07899895 but rather due to a business decision.,PHASE1,37,Pfizer,INDUSTRY,Healthy,PF-07899895|Placebo,2026-09-07,False,False
NCT05173831,Study of Feasibility and Safety of MDMA-Assisted Group Therapy for the Treatment of PTSD in Veterans,WITHDRAWN,2023-09,Transfer of Sponsorship,PHASE2,0,Resilient Pharmaceuticals,INDUSTRY,PTSD,Midomafetamine|Therapy,2026-09-07,False,False
NCT05828277,A Phase 1 Study to Assess the Effect of Hepatic Impairment on the Pharmacokinetics of Repotrectinib in Advanced Cancer Patients,WITHDRAWN,2022-07-28,Insufficient enrollment,PHASE1,0,"Turning Point Therapeutics, Inc.",INDUSTRY,Locally Advanced Solid Tumor|Metastatic Solid Tumor,repotrectinib (TPX-0005),2026-09-07,False,False
NCT05446129,A Study in People With Colorectal Cancer to Test Whether Ezabenlimab or Pembrolizumab in Combination With BI 765063 Lead to Side Effects or Delays in Surgery,TERMINATED,2022-09-27,Company decision,PHASE1,2,Boehringer Ingelheim,INDUSTRY,Colorectal Cancer,Ezabenlimab|BI 765063|Pembrolizumab,2026-09-07,False,False
NCT04477291,A Study of CG-806 in Patients With Relapsed or Refractory AML or Higher-Risk MDS,TERMINATED,2020-10-06,Change in corporate strategy,PHASE1,45,Aptose Biosciences Inc.,INDUSTRY,Acute Myeloid Leukemia|Myelodysplastic Syndromes,CG-806,2026-09-07,False,False
