nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set
NCT06153420,Study of the Research Medicine CIN-103 in Adults With Irritable Bowel Syndrome With Predominant Diarrhea (IBS-D).,TERMINATED,2023-12-28,The study was terminated due to lack of efficacy compared to placebo.,PHASE2,421,"CinPhloro Pharma, LLC",INDUSTRY,Irritable Bowel Syndrome With Diarrhea,CIN-103|Placebo,2026-09-07,False,False
NCT05840510,Adagrasib in Combination With Nab-Sirolimus in Patients With Advanced Solid Tumors and Non-Small Cell Lung Cancer With a KRAS G12C Mutation (KRYSTAL -19),TERMINATED,2023-08-07,Business objectives have changed,PHASE1,6,Mirati Therapeutics Inc.,INDUSTRY,"Solid Tumor, Adult|NSCLC|Advanced Cancer|Metastatic Cancer|Malignant Neoplastic Disease",Adagrasib|nab-Sirolimus,2026-09-07,False,False
NCT04982224,Study of REGN5093-M114 (METxMET Antibody-Drug Conjugate) in Adult Patients With Mesenchymal Epithelial Transition Factor (MET) Overexpressing Advanced Cancer,TERMINATED,2021-11-09,Sponsor decision,PHASE1,30,Regeneron Pharmaceuticals,INDUSTRY,Advanced NSCLC,REGN5093-M114|Cemiplimab,2026-09-07,False,False
NCT03327727,VL-2397 Compared to Standard First-Line Treatment for Invasive Aspergillosis (IA) in Adults,TERMINATED,2018-02-20,Business decision,PHASE2,4,Vical,INDUSTRY,Invasive Aspergillosis|Invasive Pulmonary Aspergillosis,"Investigational Agent: VL-2397|Standard treatment: Voriconazole, Isavuconazole, or Liposomal amphotericin B",2026-09-07,False,False
NCT05528861,A Study to Assess Subcutaneous Lirentelimab (AK002) in Chronic Spontaneous Urticaria,TERMINATED,2022-10-26,No longer pursuing development,PHASE2,127,Allakos Inc.,INDUSTRY,Chronic Spontaneous Urticaria,Lirentelimab (AK002)|Placebo,2026-09-07,False,False
NCT05220098,First-in-Human Study of TAK-280 in Participants With Solid Tumors,TERMINATED,2022-04-21,Terminated due to limited anti-cancer activity,PHASE1|PHASE2,69,Takeda,INDUSTRY,Unresectable Locally Advanced or Metastatic Cancer,TAK-280,2026-09-07,False,False
NCT03307993,Positron Emission Tomography (PET) Study in Patients With Alzheimer's Disease,TERMINATED,2017-09-22,The study was terminated for strategic reasons.,PHASE1,3,H. Lundbeck A/S,INDUSTRY,Alzheimer's Disease,Idalopirdine,2026-09-07,False,False
NCT05144347,Study of XL114 in Subjects With Non-Hodgkin's Lymphoma,TERMINATED,2022-04-12,Due to Sponsor reasons.,PHASE1,2,Exelixis,INDUSTRY,Non-Hodgkin's Lymphoma (NHL)|Activated B-Cell Type Diffuse Large B-Cell Lymphoma (ABC-DLBCL)|Mantle Cell Lymphoma (MCL)|Chronic Lymphocytic Leukemia (CLL)|Small Lymphocytic Lymphoma (SLL),XL114,2026-09-07,False,False
NCT03958955,Efficacy and Safety of Delgocitinib Cream in Discoid Lupus Erythematosus.,TERMINATED,2019-07-09,Terminated due to recruitment challenges.,PHASE2,27,LEO Pharma,INDUSTRY,Discoid Lupus Erythematosus,Delgocitinib cream|Delgocitinib cream vehicle,2026-09-07,False,False
NCT05156125,VTX002 Versus Placebo for the Treatment of Moderately to Severely Active Ulcerative Colitis,TERMINATED,2021-11-30,The Induction and Long-Term Extension Periods were completed and analyzed as planned. The Sponsor decided to terminate clinical conduct in the Open-Label Extension Period. The decision to terminate the study was not due to safety concerns.,PHASE2,213,Oppilan Pharma Ltd,INDUSTRY,"Colitis, Ulcerative",VTX002|VTX002|Placebo,2026-09-07,False,False
