product,quarter,revenue_total_usd_m,revenue_us_usd_m,launch_list_price_usd,us_price_in_force_usd,price_basis,patients_us_at_price_in_force,patients_ex_us_at_factor,patients_variant,cumulative_variant,patients_central_main,cumulative_central_main,in_scope
roctavian,2024Q2,7.4,,2900000.0,2900000,not in scope: class factor central kept,,,3.4,5.4,3.4,5.3,False
roctavian,2024Q3,7.2,,2900000.0,2900000,not in scope: class factor central kept,,,3.3,8.7,3.3,8.6,False
roctavian,2024Q4,11.0,,2900000.0,2900000,not in scope: class factor central kept,,,5.0,13.7,5.0,13.6,False
roctavian,2025Q1,11.0,,2900000.0,2900000,not in scope: class factor central kept,,,5.0,18.7,5.0,18.6,False
roctavian,2025Q2,9.0,,2900000.0,2900000,not in scope: class factor central kept,,,4.1,22.8,4.1,22.6,False
roctavian,2025Q3,3.2,,2900000.0,2900000,not in scope: class factor central kept,,,1.5,24.3,1.5,24.1,False
roctavian,2025Q4,13.0,,2900000.0,2900000,not in scope: class factor central kept,,,5.9,30.2,5.9,30.0,False
roctavian,2026Q1,3.0,,2900000.0,2900000,not in scope: class factor central kept,,,1.4,31.6,1.4,31.4,False
roctavian,2026Q2,12.0,,2900000.0,2900000,not in scope: class factor central kept,,,5.4,37.0,5.4,36.8,False
ryoncil,2025Q1,0.0,,1550000.0,1550000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
ryoncil,2025Q2,11.3,,1550000.0,1550000,not in scope: class factor central kept,,,9.6,9.6,9.6,9.6,False
ryoncil,2025Q3,21.9,,1550000.0,1550000,not in scope: class factor central kept,,,18.6,28.2,18.6,28.2,False
ryoncil,2025Q4,35.1,,1550000.0,1550000,not in scope: class factor central kept,,,29.8,58.0,29.8,58.0,False
ryoncil,2026Q1,30.3,,1550000.0,1550000,not in scope: class factor central kept,,,25.7,83.7,25.7,83.7,False
ryoncil,2026Q2,36.0,,1550000.0,1550000,not in scope: class factor central kept,,,30.6,114.3,30.6,114.3,False
skysona,2023Q1,2.3,2.3,3000000.0,3000000,not in scope: class factor central kept,,,1.0,1.0,1.0,1.0,False
skysona,2023Q2,2.66,2.66,3000000.0,3000000,not in scope: class factor central kept,,,1.2,2.2,1.2,2.2,False
skysona,2023Q3,7.43,7.43,3000000.0,3000000,not in scope: class factor central kept,,,3.3,5.5,3.3,5.4,False
skysona,2023Q4,-0.01,-0.01,3000000.0,3000000,not in scope: class factor central kept,,,-0.0,5.5,-0.0,5.4,False
skysona,2024Q1,0.0,0.0,3000000.0,3000000,not in scope: class factor central kept,,,0.0,5.5,0.0,5.4,False
skysona,2024Q2,4.94,4.94,3000000.0,3000000,not in scope: class factor central kept,,,2.2,7.7,2.2,7.6,False
skysona,2024Q3,2.49,2.49,3000000.0,3000000,not in scope: class factor central kept,,,1.1,8.8,1.1,8.7,False
skysona,2024Q4,2.49,2.49,3000000.0,3000000,not in scope: class factor central kept,,,1.1,9.9,1.1,9.8,False
skysona,2025Q1,0.0,0.0,3000000.0,3000000,not in scope: class factor central kept,,,0.0,9.9,0.0,9.8,False
tecartus,2020Q3,9.0,5.0,373000.0,373000,WAC 2020,13.4,14.1,27.5,27.5,31.7,31.7,True
tecartus,2020Q4,34.0,29.0,373000.0,373000,WAC 2020,77.7,17.6,95.4,122.9,119.9,151.7,True
tecartus,2021Q1,31.0,27.0,373000.0,373000,WAC 2021,72.4,14.1,86.5,209.4,109.4,261.0,True
tecartus,2021Q2,41.0,32.0,373000.0,373000,WAC 2021,85.8,31.7,117.5,326.9,144.6,405.7,True
tecartus,2021Q3,47.0,35.0,373000.0,373000,WAC 2021,93.8,42.3,136.2,463.1,165.8,571.5,True
tecartus,2021Q4,57.0,42.0,373000.0,373000,WAC 2021,112.6,52.9,165.5,628.6,201.1,772.5,True
tecartus,2022Q1,63.0,47.0,373000.0,399000,WAC 2022,117.8,56.4,174.2,802.9,222.2,994.8,True
tecartus,2022Q2,73.0,53.0,373000.0,399000,WAC 2022,132.8,70.6,203.4,1006.2,257.5,1252.3,True
tecartus,2022Q3,81.0,60.0,373000.0,399000,WAC 2022,150.4,74.1,224.5,1230.7,285.7,1538.0,True
tecartus,2022Q4,82.0,61.0,373000.0,423351,implied ASP (CMS payment limit / 1.06),144.1,74.1,218.2,1448.9,289.3,1827.3,True
tecartus,2023Q1,89.0,59.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),139.2,105.8,245.0,1693.8,314.0,2141.2,True
tecartus,2023Q2,88.0,56.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),132.1,112.9,245.0,1938.8,310.4,2451.7,True
tecartus,2023Q3,96.0,64.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),150.9,112.9,263.8,2202.6,338.6,2790.3,True
tecartus,2023Q4,98.0,66.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),155.7,112.9,268.5,2471.2,345.7,3136.0,True
tecartus,2024Q1,100.0,55.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),129.7,158.7,288.5,2759.6,352.8,3488.8,True
tecartus,2024Q2,107.0,63.0,373000.0,434463,implied ASP (CMS payment limit / 1.06),145.0,155.2,300.2,3059.8,377.5,3866.2,True
tecartus,2024Q3,98.0,63.0,373000.0,460426,implied ASP (CMS payment limit / 1.06),136.8,123.5,260.3,3320.1,345.7,4211.9,True
tecartus,2024Q4,98.0,53.0,373000.0,461697,implied ASP (CMS payment limit / 1.06),114.8,158.7,273.5,3593.7,345.7,4557.6,True
tecartus,2025Q1,78.0,40.0,373000.0,462000,implied ASP (CMS payment limit / 1.06),86.6,134.0,220.6,3814.3,275.2,4832.8,True
tecartus,2025Q2,92.0,41.0,373000.0,461608,implied ASP (CMS payment limit / 1.06),88.8,179.9,268.7,4083.0,324.5,5157.3,True
tecartus,2025Q3,83.0,40.0,373000.0,461745,implied ASP (CMS payment limit / 1.06),86.6,151.7,238.3,4321.3,292.8,5450.1,True
tecartus,2025Q4,90.0,32.0,373000.0,461595,implied ASP (CMS payment limit / 1.06),69.3,204.6,273.9,4595.3,317.5,5767.6,True
tecartus,2026Q1,75.0,30.0,373000.0,481230,implied ASP (CMS payment limit / 1.06),62.3,158.7,221.1,4816.3,264.6,6032.2,True
tecartus,2026Q2,70.0,29.0,373000.0,462000,WAC 2025 carried forward,62.8,144.6,207.4,5023.8,246.9,6279.1,True
tecelra,2024Q3,0.0,,727000.0,727000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
tecelra,2024Q4,1.2,,727000.0,727000,not in scope: class factor central kept,,,2.2,2.2,2.2,2.2,False
tecelra,2025Q1,4.0,,727000.0,727000,not in scope: class factor central kept,,,7.2,9.4,7.2,9.4,False
tecelra,2025Q2,11.1,,727000.0,727000,not in scope: class factor central kept,,,20.1,29.5,20.1,29.5,False
tudriqev,2026Q2,0.0,,,,not in scope: class factor central kept,,,,0.0,,,False
vyjuvek,2023Q3,8.6,,631000.0,631000,not in scope: class factor central kept,,,17.9,17.9,17.9,17.9,False
vyjuvek,2023Q4,42.1,,631000.0,631000,not in scope: class factor central kept,,,87.8,105.7,87.8,105.7,False
vyjuvek,2024Q1,45.3,,631000.0,631000,not in scope: class factor central kept,,,94.5,200.2,94.5,200.2,False
vyjuvek,2024Q2,70.3,,631000.0,631000,not in scope: class factor central kept,,,146.6,346.8,146.6,346.8,False
vyjuvek,2024Q3,83.8,,631000.0,631000,not in scope: class factor central kept,,,174.7,521.5,174.7,521.5,False
vyjuvek,2024Q4,91.1,,631000.0,631000,not in scope: class factor central kept,,,190.0,711.5,190.0,711.5,False
vyjuvek,2025Q1,88.2,88.18,631000.0,631000,not in scope: class factor central kept,,,183.9,895.4,183.9,895.4,False
vyjuvek,2025Q2,96.0,96.04,631000.0,631000,not in scope: class factor central kept,,,200.2,1095.6,200.2,1095.6,False
vyjuvek,2025Q3,97.8,,631000.0,631000,not in scope: class factor central kept,,,203.9,1299.5,203.9,1299.5,False
vyjuvek,2025Q4,107.1,,631000.0,631000,not in scope: class factor central kept,,,223.3,1522.8,223.3,1522.9,False
vyjuvek,2026Q1,116.4,87.49,631000.0,631000,not in scope: class factor central kept,,,242.7,1765.5,242.7,1765.6,False
vyjuvek,2026Q2,119.2,91.63,631000.0,631000,not in scope: class factor central kept,,,248.6,2014.1,248.6,2014.1,False
yescarta,2017Q4,7.0,7.0,373000.0,373000,WAC 2017,18.8,0.0,18.8,18.8,24.7,24.7,True
yescarta,2018Q1,40.0,40.0,373000.0,373000,WAC 2017 carried forward,107.2,0.0,107.2,126.0,141.1,165.8,True
yescarta,2018Q2,68.0,68.0,373000.0,373000,WAC 2017 carried forward,182.3,0.0,182.3,308.3,239.9,405.7,True
yescarta,2018Q3,75.0,75.0,373000.0,373000,WAC 2017 carried forward,201.1,0.0,201.1,509.4,264.6,670.2,True
yescarta,2018Q4,81.0,80.0,373000.0,373000,WAC 2017 carried forward,214.5,3.5,218.0,727.4,285.7,956.0,True
yescarta,2019Q1,96.0,90.0,373000.0,373000,WAC 2017 carried forward,241.3,21.2,262.5,989.8,338.6,1294.6,True
yescarta,2019Q2,120.0,99.0,373000.0,373000,WAC 2017 carried forward,265.4,74.1,339.5,1329.3,423.3,1717.9,True
yescarta,2019Q3,118.0,86.0,373000.0,373000,WAC 2017 carried forward,230.6,112.9,343.4,1672.8,416.3,2134.2,True
yescarta,2019Q4,122.0,98.0,373000.0,373000,WAC 2017 carried forward,262.7,84.7,347.4,2020.2,430.4,2564.6,True
yescarta,2020Q1,140.0,103.0,373000.0,373000,WAC 2017 carried forward,276.1,130.5,406.7,2426.8,493.9,3058.4,True
yescarta,2020Q2,156.0,95.0,373000.0,373000,WAC 2017 carried forward,254.7,215.2,469.9,2896.7,550.3,3608.7,True
yescarta,2020Q3,138.0,85.0,373000.0,373000,WAC 2017 carried forward,227.9,187.0,414.8,3311.6,486.8,4095.5,True
yescarta,2020Q4,129.0,79.0,373000.0,373000,WAC 2017 carried forward,211.8,176.4,388.2,3699.7,455.1,4550.6,True
yescarta,2021Q1,160.0,92.0,373000.0,373000,WAC 2017 carried forward,246.6,239.9,486.5,4186.3,564.4,5115.0,True
yescarta,2021Q2,178.0,108.0,373000.0,373000,WAC 2017 carried forward,289.5,246.9,536.5,4722.7,627.9,5742.9,True
yescarta,2021Q3,175.0,100.0,373000.0,373000,WAC 2017 carried forward,268.1,264.6,532.7,5255.4,617.3,6360.2,True
yescarta,2021Q4,182.0,106.0,373000.0,373000,WAC 2017 carried forward,284.2,268.1,552.3,5807.7,642.0,7002.3,True
yescarta,2022Q1,211.0,125.0,373000.0,399000,WAC 2022,313.3,303.4,616.7,6424.3,744.3,7746.6,True
yescarta,2022Q2,295.0,193.0,373000.0,399000,WAC 2022,483.7,359.8,843.5,7267.9,1040.6,8787.2,True
yescarta,2022Q3,317.0,210.0,373000.0,399000,WAC 2022,526.3,377.5,903.8,8171.6,1118.2,9905.5,True
yescarta,2022Q4,337.0,219.0,373000.0,423817,implied ASP (CMS payment limit / 1.06),516.7,416.3,933.0,9104.6,1188.8,11094.3,True
yescarta,2023Q1,359.0,210.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),495.3,525.6,1020.9,10125.5,1266.4,12360.7,True
yescarta,2023Q2,380.0,217.0,373000.0,423907,implied ASP (CMS payment limit / 1.06),511.9,575.0,1086.9,11212.4,1340.5,13701.1,True
yescarta,2023Q3,391.0,197.0,373000.0,424000,implied ASP (CMS payment limit / 1.06),464.6,684.4,1149.0,12361.4,1379.3,15080.4,True
yescarta,2023Q4,368.0,187.0,373000.0,433379,implied ASP (CMS payment limit / 1.06),431.5,638.5,1070.0,13431.4,1298.2,16378.6,True
yescarta,2024Q1,380.0,170.0,373000.0,461450,implied ASP (CMS payment limit / 1.06),368.4,740.8,1109.2,14540.6,1340.5,17719.1,True
yescarta,2024Q2,414.0,186.0,373000.0,461751,implied ASP (CMS payment limit / 1.06),402.8,804.3,1207.1,15747.7,1460.4,19179.5,True
yescarta,2024Q3,387.0,145.0,373000.0,461809,implied ASP (CMS payment limit / 1.06),314.0,853.7,1167.7,16915.3,1365.2,20544.7,True
yescarta,2024Q4,390.0,161.0,373000.0,474378,implied ASP (CMS payment limit / 1.06),339.4,807.8,1147.2,18062.5,1375.8,21920.4,True
yescarta,2025Q1,386.0,160.0,373000.0,502902,implied ASP (CMS payment limit / 1.06),318.2,797.2,1115.4,19177.9,1361.6,23282.1,True
yescarta,2025Q2,393.0,162.0,373000.0,503047,implied ASP (CMS payment limit / 1.06),322.0,814.9,1136.9,20314.8,1386.3,24668.4,True
yescarta,2025Q3,349.0,123.0,373000.0,502068,implied ASP (CMS payment limit / 1.06),245.0,797.2,1042.2,21357.1,1231.1,25899.5,True
yescarta,2025Q4,368.0,151.0,373000.0,501744,implied ASP (CMS payment limit / 1.06),301.0,765.5,1066.4,22423.5,1298.2,27197.7,True
yescarta,2026Q1,332.0,120.0,373000.0,530661,implied ASP (CMS payment limit / 1.06),226.1,747.8,974.0,23397.5,1171.2,28368.8,True
yescarta,2026Q2,346.0,132.0,373000.0,503580,WAC 2025 carried forward,262.1,754.9,1017.0,24414.5,1220.5,29589.4,True
zevaskyn,2025Q2,0.0,,3100000.0,3100000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
zevaskyn,2025Q3,0.0,,3100000.0,3100000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
zevaskyn,2025Q4,2.42,,3100000.0,3100000,not in scope: class factor central kept,,,1.0,1.0,1.0,1.0,False
zevaskyn,2026Q1,8.7,,3100000.0,3100000,not in scope: class factor central kept,,,3.7,4.7,3.7,4.7,False
zevaskyn,2026Q2,11.4,,3100000.0,3100000,not in scope: class factor central kept,,,4.8,9.5,4.8,9.6,False
zolgensma,2019Q2,15.0,,2125000.0,2125000,not in scope: class factor central kept,,,9.3,9.3,9.3,9.3,False
zolgensma,2019Q3,160.0,,2125000.0,2125000,not in scope: class factor central kept,,,99.1,108.4,99.1,108.4,False
zolgensma,2019Q4,186.0,,2125000.0,2125000,not in scope: class factor central kept,,,115.2,223.6,115.2,223.5,False
zolgensma,2020Q1,170.0,,2125000.0,2125000,not in scope: class factor central kept,,,105.3,328.9,105.3,328.8,False
zolgensma,2020Q2,205.0,,2125000.0,2125000,not in scope: class factor central kept,,,126.9,455.8,126.9,455.7,False
zolgensma,2020Q3,291.0,,2125000.0,2125000,not in scope: class factor central kept,,,180.2,636.0,180.2,635.9,False
zolgensma,2020Q4,254.0,,2125000.0,2125000,not in scope: class factor central kept,,,157.3,793.3,157.3,793.2,False
zolgensma,2021Q1,319.0,,2125000.0,2125000,not in scope: class factor central kept,,,197.5,990.8,197.5,990.7,False
zolgensma,2021Q2,315.0,,2125000.0,2125000,not in scope: class factor central kept,,,195.0,1185.8,195.0,1185.8,False
zolgensma,2021Q3,375.0,,2125000.0,2125000,not in scope: class factor central kept,,,232.2,1418.0,232.2,1418.0,False
zolgensma,2021Q4,342.0,,2125000.0,2125000,not in scope: class factor central kept,,,211.8,1629.8,211.8,1629.7,False
zolgensma,2022Q1,363.0,,2125000.0,2125000,not in scope: class factor central kept,,,224.8,1854.6,224.8,1854.5,False
zolgensma,2022Q2,379.0,,2125000.0,2125000,not in scope: class factor central kept,,,234.7,2089.3,234.7,2089.2,False
zolgensma,2022Q3,319.0,,2125000.0,2125000,not in scope: class factor central kept,,,197.5,2286.8,197.5,2286.7,False
zolgensma,2022Q4,309.0,,2125000.0,2125000,not in scope: class factor central kept,,,191.3,2478.1,191.3,2478.0,False
zolgensma,2023Q1,309.0,,2125000.0,2125000,not in scope: class factor central kept,,,191.3,2669.4,191.3,2669.3,False
zolgensma,2023Q2,311.0,,2125000.0,2125000,not in scope: class factor central kept,,,192.6,2862.0,192.6,2861.9,False
zolgensma,2023Q3,308.0,,2125000.0,2125000,not in scope: class factor central kept,,,190.7,3052.7,190.7,3052.6,False
zolgensma,2023Q4,286.0,,2125000.0,2125000,not in scope: class factor central kept,,,177.1,3229.8,177.1,3229.7,False
zolgensma,2024Q1,295.0,,2125000.0,2125000,not in scope: class factor central kept,,,182.7,3412.5,182.7,3412.4,False
zolgensma,2024Q2,349.0,,2125000.0,2125000,not in scope: class factor central kept,,,216.1,3628.6,216.1,3628.5,False
zolgensma,2024Q3,308.0,,2125000.0,2125000,not in scope: class factor central kept,,,190.7,3819.3,190.7,3819.2,False
zolgensma,2024Q4,262.0,,2125000.0,2125000,not in scope: class factor central kept,,,162.2,3981.5,162.2,3981.4,False
zolgensma,2025Q1,327.0,,2125000.0,2125000,not in scope: class factor central kept,,,202.5,4184.0,202.5,4183.9,False
zolgensma,2025Q2,297.0,,2125000.0,2125000,not in scope: class factor central kept,,,183.9,4367.9,183.9,4367.8,False
zolgensma,2025Q3,301.0,,2125000.0,2125000,not in scope: class factor central kept,,,186.4,4554.3,186.4,4554.2,False
zolgensma,2025Q4,307.0,,2125000.0,2125000,not in scope: class factor central kept,,,190.1,4744.4,190.1,4744.3,False
zolgensma,2026Q1,302.0,,2125000.0,2125000,not in scope: class factor central kept,,,187.0,4931.4,187.0,4931.3,False
zolgensma,2026Q2,365.0,,2125000.0,2125000,not in scope: class factor central kept,,,226.0,5157.4,226.0,5157.3,False
zynteglo,2023Q1,0.0,0.0,2800000.0,2800000,not in scope: class factor central kept,,,0.0,0.0,0.0,0.0,False
zynteglo,2023Q2,4.18,4.18,2800000.0,2800000,not in scope: class factor central kept,,,2.0,2.0,2.0,2.0,False
zynteglo,2023Q3,4.85,4.85,2800000.0,2800000,not in scope: class factor central kept,,,2.3,4.3,2.3,4.2,False
zynteglo,2023Q4,7.66,7.66,2800000.0,2800000,not in scope: class factor central kept,,,3.6,7.9,3.6,7.8,False
zynteglo,2024Q1,18.56,18.56,2800000.0,2800000,not in scope: class factor central kept,,,8.7,16.6,8.7,16.6,False
zynteglo,2024Q2,11.16,11.16,2800000.0,2800000,not in scope: class factor central kept,,,5.2,21.8,5.2,21.8,False
zynteglo,2024Q3,5.49,5.49,2800000.0,2800000,not in scope: class factor central kept,,,2.6,24.4,2.6,24.4,False
zynteglo,2024Q4,27.06,27.06,2800000.0,2800000,not in scope: class factor central kept,,,12.7,37.1,12.7,37.1,False
zynteglo,2025Q1,26.31,26.31,2800000.0,2800000,not in scope: class factor central kept,,,12.4,49.5,12.4,49.5,False
